age,num_homicide_deaths
0,263
1,142
2,109
3,78
4,40
5,38
6,36
7,22
8,19
9,25
10,21
11,17
12,23
13,33
14,64
15,105
16,212
17,309
18,438
19,523
20,545
21,657
22,639
23,656
24,649
25,615
26,569
27,492
28,534
29,485
30,444
31,424
32,452
33,435
34,413
35,378
36,369
37,329
38,297
39,267
40,281
41,232
42,244
43,259
44,239
45,255
46,226
47,201
48,217
49,199
50,206
51,213
52,197
53,189
54,203
55,180
56,159
57,169
58,149
59,133
60,124
61,109
62,100
63,107
64,79
65,60
66,82
67,54
68,83
69,52
70,44
71,49
72,47
73,44
74,35
75,39
76,42
77,27
78,33
79,34
80,18
81,29
82,19
83,30
84,23
85,19
86,8
87,15
88,10
89,14
90,11
91,5
92,4
93,3
94,9
95,5
96,2
98,1
99,1
100,2
